"test_date","seq_session_number","session_phase","day_of_week","total_participants","current_year_graduates_pct","previous_year_graduates_pct","penitentiary_graduates_pct","avg_scaled_score_overall","avg_score_current_year","median_scaled_score_overall","median_score_current_year","fail_rate_mandatory","day_over_day_delta_current_year","smoothed_avg_current_year","cume_progress"
"2025-05-17","1","Травневі суботні сесії","Субота","11728","4.8","95.2","0.0","123.53","126.41","129.00","130.67","19.92","","128.33","4.0"
"2025-05-24","2","Травневі суботні сесії","Субота","14021","5.6","94.4","0.0","127.64","130.24","132.00","133.67","18.37","3.83","128.79","8.9"
"2025-05-31","3","Травневі суботні сесії","Субота","15018","4.2","95.8","0.0","128.82","129.73","132.67","132.67","11.89","-0.51","135.66","14.1"
"2025-06-02","4","Червнева основна сесія","Понеділок","16733","92.1","7.9","0.0","146.30","147.02","146.67","147.33","4.83","17.29","138.28","19.9"
"2025-06-03","5","Червнева основна сесія","Вівторок","18103","91.6","8.4","0.0","137.86","138.10","139.33","139.33","8.62","-8.92","139.54","26.1"
"2025-06-04","6","Червнева основна сесія","Середа","18979","96.2","3.8","0.0","133.50","133.49","136.00","136.00","9.92","-4.61","138.65","32.7"
"2025-06-05","7","Червнева основна сесія","Четвер","15480","92.8","7.2","0.0","143.59","144.36","144.33","145.00","5.88","10.87","136.69","38.0"
"2025-06-06","8","Червнева основна сесія","П'ятниця","18817","93.9","6.1","0.0","131.86","132.23","134.67","135.00","17.11","-12.13","135.29","44.5"
"2025-06-09","9","Червнева основна сесія","Понеділок","18785","93.3","6.7","0.0","129.08","129.28","132.33","132.33","18.07","-2.95","131.76","51.0"
"2025-06-10","10","Червнева основна сесія","Вівторок","18359","95.3","4.7","0.0","133.49","133.77","136.33","136.67","14.90","4.49","133.31","57.3"
"2025-06-11","11","Червнева основна сесія","Середа","18181","87.9","12.1","0.0","136.32","136.87","137.00","137.67","7.34","3.10","139.05","63.6"
"2025-06-12","12","Червнева основна сесія","Четвер","16098","95.3","4.7","0.0","146.01","146.50","145.33","145.67","3.78","9.63","138.70","69.2"
"2025-06-13","13","Червнева основна сесія","П'ятниця","18175","90.8","9.2","0.0","132.26","132.72","134.33","134.67","12.03","-13.78","141.07","75.4"
"2025-06-16","14","Червнева основна сесія","Понеділок","14817","94.0","6.0","0.0","143.56","143.99","144.00","144.33","4.57","11.27","135.03","80.5"
"2025-06-17","15","Червнева основна сесія","Вівторок","18170","91.6","8.4","0.0","128.12","128.39","132.33","132.67","20.90","-15.60","138.29","86.8"
"2025-06-18","16","Червнева основна сесія","Середа","14657","92.9","7.1","0.0","141.71","142.49","142.67","143.33","8.13","14.10","132.84","91.9"
"2025-06-19","17","Червнева основна сесія","Четвер","18219","81.6","18.4","0.0","126.70","127.64","130.00","130.67","18.41","-14.85","132.45","98.2"
"2025-07-17","18","Липнева додаткова сесія","Четвер","2458","49.9","50.1","0.0","125.38","127.23","130.33","132.00","24.25","-0.41","127.51","99.0"
"2025-07-18","19","Липнева додаткова сесія","П'ятниця","2864","46.2","52.5","1.3","126.50","127.65","130.33","131.00","18.05","0.42","127.44","100.0"
