"reg_name","total_participants","center_participants","periphery_participants","center_participants_percentage","median_center_score","median_periphery_score","delta_median","center_high_achievers_percentage","periphery_high_achievers_percentage","monopoly_lq_index","center_failed_percentage","periphery_failed_percentage","fail_rate_ratio","region_classification"
"Чернігівська область","5816","1900","3916","32.7","143.25","135.75","7.50","2.32","0.92","1.68","8.11","16.14","1.99","Високоцентралізована"
"Закарпатська область","7140","1489","5651","20.9","140.75","133.75","7.00","1.68","0.85","1.64","11.82","18.37","1.55","Високоцентралізована"
"Рівненська область","9400","2768","6632","29.4","143.75","138.50","5.25","2.35","1.09","1.61","8.60","12.62","1.47","Високоцентралізована"
"Кіровоградська область","5322","1986","3336","37.3","142.00","135.00","7.00","1.81","0.75","1.58","9.47","18.29","1.93","Високоцентралізована"
"Черкаська область","7347","2177","5170","29.6","141.00","136.25","4.75","1.24","0.60","1.57","9.28","15.80","1.70","Високоцентралізована"
"Херсонська область","1950","1014","936","52.0","142.00","135.00","7.00","2.07","0.53","1.55","10.65","17.74","1.67","Високоцентралізована"
"Полтавська область","8995","2902","6093","32.3","139.00","137.00","2.00","1.34","0.64","1.55","11.30","13.47","1.19","Високоцентралізована"
"Дніпропетровська область","17435","6091","11344","34.9","140.75","135.75","5.00","1.21","0.63","1.45","9.54","15.29","1.60","Високоцентралізована"
"Львівська область","19564","7785","11779","39.8","146.50","142.00","4.50","4.19","2.11","1.43","7.44","10.92","1.47","Високоцентралізована"
"Житомирська область","8500","2948","5552","34.7","140.25","136.25","4.00","1.63","0.92","1.40","10.55","15.49","1.47","Високоцентралізована"
"Миколаївська область","5450","2363","3087","43.4","138.00","134.25","3.75","1.06","0.58","1.34","13.29","17.36","1.31","Помірно централізована"
"Чернівецька область","5584","2513","3071","45.0","139.00","136.75","2.25","1.51","0.85","1.32","11.58","16.70","1.44","Помірно централізована"
"Одеська область","15475","7769","7706","50.2","140.00","135.00","5.00","1.78","1.01","1.27","11.06","16.88","1.53","Помірно централізована"
"Хмельницька область","9205","3251","5954","35.3","140.75","138.25","2.50","1.38","0.97","1.24","11.44","12.71","1.11","Помірно централізована"
"Тернопільська область","7306","2759","4547","37.8","141.75","137.50","4.25","2.17","1.50","1.24","9.71","14.71","1.51","Помірно централізована"
"Харківська область","12425","7638","4787","61.5","141.75","136.25","5.50","1.66","0.81","1.24","9.81","15.73","1.60","Помірно централізована"
"Київська область","37946","25548","12398","67.3","144.13","139.50","4.63","2.75","1.24","1.22","8.27","12.97","1.57","Помірно централізована"
"Івано-Франківська область","9948","3345","6603","33.6","139.75","137.50","2.25","1.94","1.44","1.21","10.70","15.01","1.40","Помірно централізована"
"Вінницька область","10328","4082","6246","39.5","141.00","136.50","4.50","1.40","1.02","1.19","8.99","15.05","1.67","Помірно централізована"
"Сумська область","5632","1885","3747","33.5","141.50","137.75","3.75","1.70","1.39","1.14","9.92","13.37","1.35","Помірно централізована"
"Запорізька область","4742","3781","961","79.7","139.00","135.25","3.75","1.38","0.73","1.11","12.38","15.09","1.22","Помірно централізована"
"Волинська область","8803","3070","5733","34.9","142.50","139.25","3.25","1.50","1.57","0.97","8.63","12.11","1.40","Поліцентрична / Збалансована"
"Донецька область","3695","0","3695","0.0","","137.50","","","1.16","","","13.37","","Не визначено"
"Луганська область","612","0","612","0.0","","137.00","","","0.98","","","14.87","","Не визначено"
