"institution_type","total_students","q1","median","q3","iqr","high_achievers_percentage","failed_percentage","coefficient_of_variation"
"науковий ліцей","126","142.75","151.34","162.00","19.25","3.17","1.59","0.11"
"загальноосвітня санаторна школа","51","126.34","138.33","148.83","22.50","0.00","15.69","0.17"
"спеціалізована школа","171","125.84","138.00","147.67","21.84","1.17","14.62","0.18"
"навчально-виховний комплекс","1834","123.67","135.00","146.00","22.33","0.65","15.87","0.18"
"ліцей","39831","123.67","134.33","145.00","21.33","0.77","15.27","0.18"
"середня загальноосвітня школа","13882","123.00","134.33","145.33","22.33","1.02","16.15","0.18"
"спортивний ліцей","94","121.00","134.17","141.00","20.00","0.00","14.89","0.16"
"мистецький ліцей","61","123.33","132.00","145.33","22.00","4.92","13.11","0.18"
"гімназія","387","123.50","131.33","140.67","17.17","0.26","15.50","0.16"
"заклад фахової передвищої освіти","1218","116.00","128.33","136.67","20.67","0.08","21.10","0.17"
"заклад професійної (професійно-технічної) освіти","904","107.08","126.00","134.00","26.92","0.11","24.89","0.18"
