"archetype","elective_subject","students_count","pct_within_archetype","subject_rank_in_archetype","avg_elective_score"
"STEM-спеціаліст","Eng","3369","52.14","1","153.2"
"STEM-спеціаліст","Geo","993","15.37","2","148.0"
"STEM-спеціаліст","Phys","899","13.91","3","144.9"
"STEM-спеціаліст","Bio","737","11.41","4","155.8"
"STEM-спеціаліст","UkrLit","213","3.30","5","135.2"
"STEM-спеціаліст","Deu","123","1.90","6","163.1"
"STEM-спеціаліст","Chem","117","1.81","7","146.5"
"STEM-спеціаліст","Fra","10","0.15","8","160.4"
"STEM-спеціаліст","Spa","1","0.02","9","153.0"
"Академічна група ризику","Geo","17423","33.02","1","135.6"
"Академічна група ризику","Bio","14779","28.01","2","138.9"
"Академічна група ризику","UkrLit","9810","18.59","3","116.5"
"Академічна група ризику","Eng","8812","16.70","4","118.5"
"Академічна група ризику","Phys","1234","2.34","5","83.8"
"Академічна група ризику","Deu","336","0.64","6","129.6"
"Академічна група ризику","Chem","327","0.62","7","96.1"
"Академічна група ризику","Fra","21","0.04","8","97.5"
"Академічна група ризику","Spa","21","0.04","8","125.6"
"Академічний універсал","Eng","9078","66.43","1","169.5"
"Академічний універсал","Bio","1454","10.64","2","178.9"
"Академічний універсал","Phys","1162","8.50","3","162.5"
"Академічний універсал","Geo","847","6.20","4","168.4"
"Академічний універсал","UkrLit","685","5.01","5","181.1"
"Академічний універсал","Chem","285","2.09","6","169.2"
"Академічний універсал","Deu","142","1.04","7","175.4"
"Академічний універсал","Fra","7","0.05","8","165.4"
"Академічний універсал","Spa","5","0.04","9","188.4"
"Гуманітарний профіль","Eng","28015","41.82","1","146.7"
"Гуманітарний профіль","UkrLit","13876","20.72","2","146.5"
"Гуманітарний профіль","Geo","12217","18.24","3","145.6"
"Гуманітарний профіль","Bio","10948","16.34","4","152.2"
"Гуманітарний профіль","Deu","666","0.99","5","155.9"
"Гуманітарний профіль","Phys","623","0.93","6","108.7"
"Гуманітарний профіль","Chem","503","0.75","7","132.7"
"Гуманітарний профіль","Fra","96","0.14","8","150.8"
"Гуманітарний профіль","Spa","41","0.06","9","154.7"
"Збалансований базовий рівень","Eng","59619","39.82","1","141.4"
"Збалансований базовий рівень","Geo","34480","23.03","2","142.9"
"Збалансований базовий рівень","Bio","29465","19.68","3","148.0"
"Збалансований базовий рівень","UkrLit","18578","12.41","4","131.5"
"Збалансований базовий рівень","Phys","4125","2.76","5","115.6"
"Збалансований базовий рівень","Deu","1864","1.25","6","153.8"
"Збалансований базовий рівень","Chem","1384","0.92","7","127.9"
"Збалансований базовий рівень","Fra","136","0.09","8","140.2"
"Збалансований базовий рівень","Spa","66","0.04","9","142.9"
